id,class_label,rank_label
0,时尚,低风险
1,时政,高风险
2,家居,可公开
3,家居,可公开
4,时政,高风险
5,游戏,低风险
6,时政,高风险
7,时尚,低风险
8,时政,高风险
9,时尚,低风险
10,时政,高风险
11,时政,高风险
12,财经,高风险
13,房产,中风险
14,房产,中风险
15,财经,高风险
16,游戏,低风险
17,游戏,低风险
18,家居,可公开
19,家居,可公开
20,家居,可公开
21,时尚,低风险
22,财经,高风险
23,教育,低风险
24,房产,中风险
25,家居,可公开
26,教育,低风险
27,时尚,低风险
28,家居,可公开
29,时政,高风险
30,游戏,低风险
31,教育,低风险
32,时政,高风险
33,时政,高风险
34,时政,高风险
35,财经,高风险
36,时政,高风险
37,房产,中风险
38,游戏,低风险
39,时尚,低风险
40,财经,高风险
41,时尚,低风险
42,房产,中风险
43,时政,高风险
44,财经,高风险
45,教育,低风险
46,时尚,低风险
47,家居,可公开
48,房产,中风险
49,时政,高风险
50,游戏,低风险
51,时尚,低风险
52,房产,中风险
53,时尚,低风险
54,家居,可公开
55,时政,高风险
56,时政,高风险
57,房产,中风险
58,时尚,低风险
59,时政,高风险
60,财经,高风险
61,时政,高风险
62,时政,高风险
63,教育,低风险
64,财经,高风险
65,时政,高风险
66,游戏,低风险
67,时政,高风险
68,时尚,低风险
69,财经,高风险
70,时尚,低风险
71,家居,可公开
72,时尚,低风险
73,时尚,低风险
74,时尚,低风险
75,教育,低风险
76,房产,中风险
77,时尚,低风险
78,房产,中风险
79,家居,可公开
80,家居,可公开
81,房产,中风险
82,教育,低风险
83,时政,高风险
84,时尚,低风险
85,时政,高风险
86,家居,可公开
87,家居,可公开
88,时政,高风险
89,财经,高风险
90,家居,可公开
91,时尚,低风险
92,教育,低风险
93,房产,中风险
94,家居,可公开
95,时尚,低风险
96,家居,可公开
97,家居,可公开
98,时政,高风险
99,时尚,低风险
100,财经,高风险
101,时尚,低风险
102,时政,高风险
103,家居,可公开
104,时政,高风险
105,家居,可公开
106,教育,低风险
107,时尚,低风险
108,游戏,低风险
109,家居,可公开
110,房产,中风险
111,教育,低风险
112,时政,高风险
113,时政,高风险
114,教育,低风险
115,时政,高风险
116,教育,低风险
117,时尚,低风险
118,财经,高风险
119,时尚,低风险
120,时尚,低风险
121,财经,高风险
122,时尚,低风险
123,房产,中风险
124,游戏,低风险
125,教育,低风险
126,时尚,低风险
127,教育,低风险
128,时政,高风险
129,时政,高风险
130,时政,高风险
131,教育,低风险
132,财经,高风险
133,时尚,低风险
134,游戏,低风险
135,财经,高风险
136,时尚,低风险
137,时尚,低风险
138,游戏,低风险
139,教育,低风险
140,教育,低风险
141,时尚,低风险
142,时政,高风险
143,财经,高风险
144,时尚,低风险
145,时政,高风险
146,家居,可公开
147,家居,可公开
148,家居,可公开
149,房产,中风险
150,时尚,低风险
151,财经,高风险
152,教育,低风险
153,时政,高风险
154,游戏,低风险
155,时尚,低风险
156,时尚,低风险
157,时政,高风险
158,时尚,低风险
159,财经,高风险
160,游戏,低风险
161,时政,高风险
162,家居,可公开
163,游戏,低风险
164,家居,可公开
165,时尚,低风险
166,家居,可公开
167,家居,可公开
168,时尚,低风险
169,时政,高风险
170,家居,可公开
171,时尚,低风险
172,游戏,低风险
173,财经,高风险
174,游戏,低风险
175,游戏,低风险
176,家居,可公开
177,时政,高风险
178,时政,高风险
179,财经,高风险
180,游戏,低风险
181,时政,高风险
182,时政,高风险
183,房产,中风险
184,时尚,低风险
185,时政,高风险
186,时尚,低风险
187,财经,高风险
188,时政,高风险
189,时政,高风险
190,时政,高风险
191,教育,低风险
192,时政,高风险
193,时尚,低风险
194,房产,中风险
195,家居,可公开
196,时政,高风险
197,时尚,低风险
198,财经,高风险
199,时尚,低风险
200,时政,高风险
201,家居,可公开
202,教育,低风险
203,时尚,低风险
204,财经,高风险
205,游戏,低风险
206,时尚,低风险
207,时政,高风险
208,时政,高风险
209,游戏,低风险
210,时尚,低风险
211,时政,高风险
212,时尚,低风险
213,游戏,低风险
214,房产,中风险
215,教育,低风险
216,时尚,低风险
217,时政,高风险
218,时政,高风险
219,时政,高风险
220,家居,可公开
221,教育,低风险
222,财经,高风险
223,时尚,低风险
224,时尚,低风险
225,房产,中风险
226,时政,高风险
227,房产,中风险
228,时尚,低风险
229,时尚,低风险
230,时尚,低风险
231,房产,中风险
232,时尚,低风险
233,时尚,低风险
234,时政,高风险
235,家居,可公开
236,房产,中风险
237,游戏,低风险
238,财经,高风险
239,财经,高风险
240,时政,高风险
241,时政,高风险
242,游戏,低风险
243,游戏,低风险
244,时政,高风险
245,游戏,低风险
246,财经,高风险
247,房产,中风险
248,家居,可公开
249,时政,高风险
250,游戏,低风险
251,时尚,低风险
252,时政,高风险
253,时尚,低风险
254,教育,低风险
255,时尚,低风险
256,时尚,低风险
257,时政,高风险
258,时尚,低风险
259,家居,可公开
260,时政,高风险
261,时政,高风险
262,时尚,低风险
263,教育,低风险
264,时尚,低风险
265,财经,高风险
266,时政,高风险
267,时尚,低风险
268,房产,中风险
269,时政,高风险
270,时尚,低风险
271,时尚,低风险
272,时政,高风险
273,教育,低风险
274,时政,高风险
275,时政,高风险
276,时政,高风险
277,时政,高风险
278,时政,高风险
279,时尚,低风险
280,时政,高风险
281,教育,低风险
282,时尚,低风险
283,时尚,低风险
284,教育,低风险
285,时尚,低风险
286,教育,低风险
287,房产,中风险
288,时政,高风险
289,财经,高风险
290,房产,中风险
291,游戏,低风险
292,家居,可公开
293,房产,中风险
294,时尚,低风险
295,房产,中风险
296,教育,低风险
297,教育,低风险
298,财经,高风险
299,财经,高风险
300,时政,高风险
301,家居,可公开
302,时尚,低风险
303,教育,低风险
304,时尚,低风险
305,教育,低风险
306,家居,可公开
307,家居,可公开
308,房产,中风险
309,家居,可公开
310,时政,高风险
311,财经,高风险
312,时尚,低风险
313,教育,低风险
314,时尚,低风险
315,时政,高风险
316,时尚,低风险
317,时尚,低风险
318,时政,高风险
319,房产,中风险
320,时尚,低风险
321,财经,高风险
322,房产,中风险
323,时尚,低风险
324,时尚,低风险
325,教育,低风险
326,家居,可公开
327,时政,高风险
328,时尚,低风险
329,时尚,低风险
330,房产,中风险
331,游戏,低风险
332,时尚,低风险
333,家居,可公开
334,时政,高风险
335,时政,高风险
336,时政,高风险
337,时尚,低风险
338,房产,中风险
339,教育,低风险
340,时尚,低风险
341,家居,可公开
342,时尚,低风险
343,教育,低风险
344,时政,高风险
345,教育,低风险
346,时政,高风险
347,家居,可公开
348,房产,中风险
349,时尚,低风险
350,时政,高风险
351,时尚,低风险
352,家居,可公开
353,时政,高风险
354,房产,中风险
355,时尚,低风险
356,教育,低风险
357,家居,可公开
358,游戏,低风险
359,时尚,低风险
360,时尚,低风险
361,家居,可公开
362,房产,中风险
363,教育,低风险
364,家居,可公开
365,时政,高风险
366,家居,可公开
367,房产,中风险
368,教育,低风险
369,财经,高风险
370,家居,可公开
371,教育,低风险
372,时政,高风险
373,时政,高风险
374,时政,高风险
375,时尚,低风险
376,房产,中风险
377,财经,高风险
378,游戏,低风险
379,家居,可公开
380,时尚,低风险
381,时尚,低风险
382,时政,高风险
383,时尚,低风险
384,时政,高风险
385,房产,中风险
386,时尚,低风险
387,教育,低风险
388,时政,高风险
389,时政,高风险
390,财经,高风险
391,时政,高风险
392,房产,中风险
393,时尚,低风险
394,时尚,低风险
395,时政,高风险
396,时尚,低风险
397,教育,低风险
398,游戏,低风险
399,财经,高风险
400,时政,高风险
401,时政,高风险
402,教育,低风险
403,时尚,低风险
404,时政,高风险
405,财经,高风险
406,时政,高风险
407,时政,高风险
408,时尚,低风险
409,时尚,低风险
410,财经,高风险
411,家居,可公开
412,财经,高风险
413,时尚,低风险
414,时尚,低风险
415,时尚,低风险
416,家居,可公开
417,家居,可公开
418,房产,中风险
419,家居,可公开
420,教育,低风险
421,教育,低风险
422,时尚,低风险
423,时政,高风险
424,时尚,低风险
425,时政,高风险
426,时尚,低风险
427,财经,高风险
428,时政,高风险
429,教育,低风险
430,教育,低风险
431,财经,高风险
432,时政,高风险
433,时尚,低风险
434,家居,可公开
435,家居,可公开
436,时尚,低风险
437,时政,高风险
438,时政,高风险
439,时政,高风险
440,时政,高风险
441,时尚,低风险
442,游戏,低风险
443,时政,高风险
444,时政,高风险
445,时尚,低风险
446,时政,高风险
447,时政,高风险
448,时尚,低风险
449,房产,中风险
450,时政,高风险
451,时尚,低风险
452,家居,可公开
453,时政,高风险
454,时政,高风险
455,时尚,低风险
456,游戏,低风险
457,时尚,低风险
458,家居,可公开
459,时政,高风险
460,时政,高风险
461,时政,高风险
462,教育,低风险
463,家居,可公开
464,时政,高风险
465,财经,高风险
466,时尚,低风险
467,家居,可公开
468,时尚,低风险
469,家居,可公开
470,时尚,低风险
471,教育,低风险
472,时政,高风险
473,时尚,低风险
474,时尚,低风险
475,时政,高风险
476,时尚,低风险
477,时政,高风险
478,时尚,低风险
479,时尚,低风险
480,财经,高风险
481,房产,中风险
482,家居,可公开
483,时政,高风险
484,时尚,低风险
485,时尚,低风险
486,时尚,低风险
487,财经,高风险
488,时政,高风险
489,财经,高风险
490,教育,低风险
491,游戏,低风险
492,家居,可公开
493,教育,低风险
494,时政,高风险
495,时尚,低风险
496,时尚,低风险
497,房产,中风险
498,家居,可公开
499,时尚,低风险
500,时政,高风险
501,时政,高风险
502,财经,高风险
503,时政,高风险
504,时尚,低风险
505,时尚,低风险
506,房产,中风险
507,家居,可公开
508,家居,可公开
509,财经,高风险
510,时尚,低风险
511,房产,中风险
512,时政,高风险
513,时尚,低风险
514,时尚,低风险
515,时政,高风险
516,游戏,低风险
517,家居,可公开
518,家居,可公开
519,时尚,低风险
520,游戏,低风险
521,财经,高风险
522,时尚,低风险
523,家居,可公开
524,时尚,低风险
525,时尚,低风险
526,时政,高风险
527,时政,高风险
528,时政,高风险
529,时政,高风险
530,财经,高风险
531,时尚,低风险
532,家居,可公开
533,财经,高风险
534,时尚,低风险
535,时尚,低风险
536,时政,高风险
537,时尚,低风险
538,游戏,低风险
539,财经,高风险
540,房产,中风险
541,财经,高风险
542,时政,高风险
543,财经,高风险
544,教育,低风险
545,时尚,低风险
546,时尚,低风险
547,家居,可公开
548,时政,高风险
549,时政,高风险
550,教育,低风险
551,时尚,低风险
552,家居,可公开
553,房产,中风险
554,房产,中风险
555,时政,高风险
556,时尚,低风险
557,时政,高风险
558,时尚,低风险
559,房产,中风险
560,房产,中风险
561,时尚,低风险
562,教育,低风险
563,家居,可公开
564,教育,低风险
565,时尚,低风险
566,教育,低风险
567,时尚,低风险
568,教育,低风险
569,房产,中风险
570,时政,高风险
571,时政,高风险
572,家居,可公开
573,财经,高风险
574,时尚,低风险
575,教育,低风险
576,财经,高风险
577,房产,中风险
578,教育,低风险
579,时尚,低风险
580,房产,中风险
581,时尚,低风险
582,时政,高风险
583,家居,可公开
584,时政,高风险
585,时尚,低风险
586,财经,高风险
587,时政,高风险
588,房产,中风险
589,家居,可公开
590,游戏,低风险
591,时尚,低风险
592,时政,高风险
593,时尚,低风险
594,房产,中风险
595,家居,可公开
596,时政,高风险
597,时尚,低风险
598,房产,中风险
599,教育,低风险
600,游戏,低风险
601,家居,可公开
602,时尚,低风险
603,财经,高风险
604,房产,中风险
605,时政,高风险
606,教育,低风险
607,教育,低风险
608,时尚,低风险
609,房产,中风险
610,时尚,低风险
611,时尚,低风险
612,教育,低风险
613,房产,中风险
614,房产,中风险
615,财经,高风险
616,家居,可公开
617,游戏,低风险
618,财经,高风险
619,家居,可公开
620,时尚,低风险
621,房产,中风险
622,教育,低风险
623,教育,低风险
624,时尚,低风险
625,财经,高风险
626,教育,低风险
627,时政,高风险
628,时政,高风险
629,时政,高风险
630,时尚,低风险
631,房产,中风险
632,时政,高风险
633,房产,中风险
634,教育,低风险
635,房产,中风险
636,时尚,低风险
637,时政,高风险
638,时尚,低风险
639,时政,高风险
640,时政,高风险
641,时尚,低风险
642,房产,中风险
643,时尚,低风险
644,时政,高风险
645,家居,可公开
646,教育,低风险
